,Unnamed: 0,artist,song,href,track_id,uri,audio_features,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
2062,15844,Countdown To Armageddon,Homeland Insecurity (Live @ KEXP),spotify:track:1Mt6BsusgJJln2FMyGFLg1,1Mt6BsusgJJln2FMyGFLg1,spotify:track:1Mt6BsusgJJln2FMyGFLg1,"{'danceability': 0.48, 'energy': 0.859, 'key': 9, 'loudness': -6.058, 'mode': 0, 'speechiness': 0.0409, 'acousticness': 0.000103, 'instrumentalness': 0.347, 'liveness': 0.0697, 'valence': 0.311, 'tempo': 128.964, 'type': 'audio_features', 'id': '1Mt6BsusgJJln2FMyGFLg1', 'uri': 'spotify:track:1Mt6BsusgJJln2FMyGFLg1', 'track_href': 'https://api.spotify.com/v1/tracks/1Mt6BsusgJJln2FMyGFLg1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Mt6BsusgJJln2FMyGFLg1', 'duration_ms': 259227, 'time_signature': 4}",0.48,0.859,9.0,-6.058,0.0,0.0409,0.000103,0.347,0.0697,0.311,128.964,audio_features,1Mt6BsusgJJln2FMyGFLg1,https://api.spotify.com/v1/tracks/1Mt6BsusgJJln2FMyGFLg1,https://api.spotify.com/v1/audio-analysis/1Mt6BsusgJJln2FMyGFLg1,259227.0,4.0
2063,53297,C. Scott,Don't Crush That Dwarf,,,,,,,,,,,,,,,,,,,,,
2064,9502,Smoked Meat Fax Machine,Victory,spotify:track:1X4ZnltArBklppunauh4hM,4tx2oRqJFOEuwye6C1FpgV,spotify:track:1X4ZnltArBklppunauh4hM,"{'danceability': 0.737, 'energy': 0.617, 'key': 4, 'loudness': -5.764, 'mode': 0, 'speechiness': 0.283, 'acousticness': 0.219, 'instrumentalness': 0, 'liveness': 0.337, 'valence': 0.667, 'tempo': 93.356, 'type': 'audio_features', 'id': '1X4ZnltArBklppunauh4hM', 'uri': 'spotify:track:1X4ZnltArBklppunauh4hM', 'track_href': 'https://api.spotify.com/v1/tracks/1X4ZnltArBklppunauh4hM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1X4ZnltArBklppunauh4hM', 'duration_ms': 153768, 'time_signature': 4}",0.737,0.617,4.0,-5.764,0.0,0.283,0.219,0.0,0.337,0.667,93.356,audio_features,1X4ZnltArBklppunauh4hM,https://api.spotify.com/v1/tracks/1X4ZnltArBklppunauh4hM,https://api.spotify.com/v1/audio-analysis/1X4ZnltArBklppunauh4hM,153768.0,4.0
2065,42118,Jared C. Balogh,Byron’s Reward Is Drunk And Stupid,,,,,,,,,,,,,,,,,,,,,
2066,32318,Ellie Fortune,"Live dublab ""Sprout Session"" (02.26.10)",spotify:track:5lF0pHbsJ0QqyIrLweHJPW,1RuXenlriyybOv1ra0zeSQ,spotify:track:6K9cjIloubdwJxwxrDcETI,"{'danceability': 0.295, 'energy': 0.678, 'key': 7, 'loudness': -7.702, 'mode': 1, 'speechiness': 0.249, 'acousticness': 0.827, 'instrumentalness': 0, 'liveness': 0.429, 'valence': 0.765, 'tempo': 177.859, 'type': 'audio_features', 'id': '6K9cjIloubdwJxwxrDcETI', 'uri': 'spotify:track:6K9cjIloubdwJxwxrDcETI', 'track_href': 'https://api.spotify.com/v1/tracks/6K9cjIloubdwJxwxrDcETI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6K9cjIloubdwJxwxrDcETI', 'duration_ms': 249093, 'time_signature': 3}",0.295,0.678,7.0,-7.702,1.0,0.249,0.827,0.0,0.429,0.765,177.859,audio_features,6K9cjIloubdwJxwxrDcETI,https://api.spotify.com/v1/tracks/6K9cjIloubdwJxwxrDcETI,https://api.spotify.com/v1/audio-analysis/6K9cjIloubdwJxwxrDcETI,249093.0,3.0
2067,44,Argumentix,Industry Standard Massacre,spotify:track:6KS0IPd4O4LBL83t5eAoWT,6KS0IPd4O4LBL83t5eAoWT,spotify:track:6KS0IPd4O4LBL83t5eAoWT,"{'danceability': 0.636, 'energy': 0.62, 'key': 11, 'loudness': -6.916, 'mode': 0, 'speechiness': 0.0582, 'acousticness': 0.0272, 'instrumentalness': 0, 'liveness': 0.351, 'valence': 0.666, 'tempo': 149.963, 'type': 'audio_features', 'id': '6KS0IPd4O4LBL83t5eAoWT', 'uri': 'spotify:track:6KS0IPd4O4LBL83t5eAoWT', 'track_href': 'https://api.spotify.com/v1/tracks/6KS0IPd4O4LBL83t5eAoWT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6KS0IPd4O4LBL83t5eAoWT', 'duration_ms': 254839, 'time_signature': 4}",0.636,0.62,11.0,-6.916,0.0,0.0582,0.0272,0.0,0.351,0.666,149.963,audio_features,6KS0IPd4O4LBL83t5eAoWT,https://api.spotify.com/v1/tracks/6KS0IPd4O4LBL83t5eAoWT,https://api.spotify.com/v1/audio-analysis/6KS0IPd4O4LBL83t5eAoWT,254839.0,4.0
2068,77765,The Copycuts,Next Life,spotify:track:5poPzk8gK11QCegSKXGJbU,0EIXEl20BlgfnVNZXUUPNH,spotify:track:5poPzk8gK11QCegSKXGJbU,"{'danceability': 0.591, 'energy': 0.576, 'key': 1, 'loudness': -7.063, 'mode': 1, 'speechiness': 0.0406, 'acousticness': 0.173, 'instrumentalness': 0.00547, 'liveness': 0.539, 'valence': 0.582, 'tempo': 147.986, 'type': 'audio_features', 'id': '5poPzk8gK11QCegSKXGJbU', 'uri': 'spotify:track:5poPzk8gK11QCegSKXGJbU', 'track_href': 'https://api.spotify.com/v1/tracks/5poPzk8gK11QCegSKXGJbU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5poPzk8gK11QCegSKXGJbU', 'duration_ms': 181929, 'time_signature': 4}",0.591,0.576,1.0,-7.063,1.0,0.0406,0.173,0.00547,0.539,0.582,147.986,audio_features,5poPzk8gK11QCegSKXGJbU,https://api.spotify.com/v1/tracks/5poPzk8gK11QCegSKXGJbU,https://api.spotify.com/v1/audio-analysis/5poPzk8gK11QCegSKXGJbU,181929.0,4.0
2069,48986,Circus Marcus,Le bal de Rémy,spotify:track:1hznyeWXgDNXvqZZhmnSh6,1hznyeWXgDNXvqZZhmnSh6,spotify:track:1hznyeWXgDNXvqZZhmnSh6,"{'danceability': 0.366, 'energy': 0.396, 'key': 7, 'loudness': -12.988, 'mode': 0, 'speechiness': 0.0453, 'acousticness': 0.95, 'instrumentalness': 0.787, 'liveness': 0.0659, 'valence': 0.15, 'tempo': 91.464, 'type': 'audio_features', 'id': '1hznyeWXgDNXvqZZhmnSh6', 'uri': 'spotify:track:1hznyeWXgDNXvqZZhmnSh6', 'track_href': 'https://api.spotify.com/v1/tracks/1hznyeWXgDNXvqZZhmnSh6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1hznyeWXgDNXvqZZhmnSh6', 'duration_ms': 239901, 'time_signature': 4}",0.366,0.396,7.0,-12.988,0.0,0.0453,0.95,0.787,0.0659,0.15,91.464,audio_features,1hznyeWXgDNXvqZZhmnSh6,https://api.spotify.com/v1/tracks/1hznyeWXgDNXvqZZhmnSh6,https://api.spotify.com/v1/audio-analysis/1hznyeWXgDNXvqZZhmnSh6,239901.0,4.0
2070,16144,Ten and Tracer,Make Our Senses Swim,,,,,,,,,,,,,,,,,,,,,
2071,6411,Garm,I'm Just The Way I Am,spotify:track:003uvaKbqnoNt9FA9cU3eX,003uvaKbqnoNt9FA9cU3eX,spotify:track:003uvaKbqnoNt9FA9cU3eX,"{'danceability': 0.435, 'energy': 0.771, 'key': 4, 'loudness': -4.38, 'mode': 1, 'speechiness': 0.0461, 'acousticness': 0.000308, 'instrumentalness': 0.364, 'liveness': 0.11, 'valence': 0.444, 'tempo': 180.003, 'type': 'audio_features', 'id': '003uvaKbqnoNt9FA9cU3eX', 'uri': 'spotify:track:003uvaKbqnoNt9FA9cU3eX', 'track_href': 'https://api.spotify.com/v1/tracks/003uvaKbqnoNt9FA9cU3eX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/003uvaKbqnoNt9FA9cU3eX', 'duration_ms': 258667, 'time_signature': 3}",0.435,0.771,4.0,-4.38,1.0,0.0461,0.000308,0.364,0.11,0.444,180.003,audio_features,003uvaKbqnoNt9FA9cU3eX,https://api.spotify.com/v1/tracks/003uvaKbqnoNt9FA9cU3eX,https://api.spotify.com/v1/audio-analysis/003uvaKbqnoNt9FA9cU3eX,258667.0,3.0
